timestamp_utc,agent,iteration,ok,error,latency_ms,input_tokens,output_tokens,total_tokens
2026-04-12T13:48:10.997068+00:00,AGENTE_03_REVISOR_SEGURIDAD,1,True,,710,284,367,651
2026-04-12T13:48:11.032918+00:00,AGENTE_02_REVISOR_PERFORMANCE,1,True,,747,1031,491,1522
2026-04-12T13:48:11.159061+00:00,AGENTE_04_REVISOR_UX,1,True,,863,635,340,975
2026-04-12T13:48:11.244586+00:00,AGENTE_06_MAESTRO_BAGO,1,True,,970,331,364,695
2026-04-12T13:48:11.246299+00:00,AGENTE_10_ARQUITECTO,1,True,,960,752,479,1231
2026-04-12T13:48:11.325584+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,1,True,,1020,311,186,497
2026-04-12T13:48:11.428240+00:00,AGENTE_09_ANALISTA,1,True,,1130,659,311,970
2026-04-12T13:48:11.520346+00:00,AGENTE_05_AUDITOR_CANONICO,1,True,,1228,594,489,1083
2026-04-12T13:48:11.536793+00:00,AGENTE_08_VERTICE,1,True,,1251,278,444,722
2026-04-12T13:48:11.638297+00:00,AGENTE_01_INTEGRADOR_REPO,1,False,simulated_timeout,1401,213,0,
2026-04-12T13:48:11.849530+00:00,AGENTE_03_REVISOR_SEGURIDAD,2,True,,850,1119,342,1461
2026-04-12T13:48:11.944482+00:00,AGENTE_08_VERTICE,2,True,,404,998,253,1251
2026-04-12T13:48:11.982146+00:00,AGENTE_09_ANALISTA,2,True,,520,908,193,1101
2026-04-12T13:48:12.061741+00:00,AGENTE_05_AUDITOR_CANONICO,2,True,,539,900,112,1012
2026-04-12T13:48:12.335268+00:00,AGENTE_09_ANALISTA,3,True,,351,726,213,939
2026-04-12T13:48:12.335737+00:00,AGENTE_02_REVISOR_PERFORMANCE,2,True,,1301,349,85,434
2026-04-12T13:48:12.401390+00:00,AGENTE_10_ARQUITECTO,2,True,,1153,572,153,725
2026-04-12T13:48:12.451167+00:00,AGENTE_06_MAESTRO_BAGO,2,True,,1205,279,263,542
2026-04-12T13:48:12.474109+00:00,AGENTE_05_AUDITOR_CANONICO,3,True,,411,880,483,1363
2026-04-12T13:48:12.481675+00:00,AGENTE_04_REVISOR_UX,2,True,,1315,622,245,867
2026-04-12T13:48:12.644804+00:00,AGENTE_01_INTEGRADOR_REPO,2,True,,1003,941,136,1077
2026-04-12T13:48:12.738495+00:00,AGENTE_04_REVISOR_UX,3,True,,255,1150,438,1588
2026-04-12T13:48:12.801047+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,2,True,,1473,666,136,802
2026-04-12T13:48:13.039153+00:00,AGENTE_03_REVISOR_SEGURIDAD,3,True,,1188,1003,218,1221
2026-04-12T13:48:13.089641+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,3,True,,287,578,254,832
2026-04-12T13:48:13.273316+00:00,AGENTE_10_ARQUITECTO,3,True,,870,759,86,845
2026-04-12T13:48:13.334128+00:00,AGENTE_08_VERTICE,3,True,,1388,400,303,703
2026-04-12T13:48:13.439992+00:00,AGENTE_02_REVISOR_PERFORMANCE,3,True,,1100,868,183,1051
2026-04-12T13:48:13.484182+00:00,AGENTE_06_MAESTRO_BAGO,3,True,,1028,674,351,1025
2026-04-12T13:48:13.688692+00:00,AGENTE_04_REVISOR_UX,4,True,,946,307,94,401
2026-04-12T13:48:13.703682+00:00,AGENTE_05_AUDITOR_CANONICO,4,True,,1228,740,337,1077
2026-04-12T13:48:13.929476+00:00,AGENTE_09_ANALISTA,4,True,,1591,1158,152,1310
2026-04-12T13:48:13.931889+00:00,AGENTE_01_INTEGRADOR_REPO,3,True,,1285,360,150,510
2026-04-12T13:48:13.997538+00:00,AGENTE_03_REVISOR_SEGURIDAD,4,True,,957,414,227,641
2026-04-12T13:48:14.046469+00:00,AGENTE_05_AUDITOR_CANONICO,5,True,,339,564,317,881
2026-04-12T13:48:14.182828+00:00,AGENTE_10_ARQUITECTO,4,True,,886,649,260,909
2026-04-12T13:48:14.192524+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,4,True,,1101,768,496,1264
2026-04-12T13:48:14.230933+00:00,AGENTE_04_REVISOR_UX,5,True,,540,985,104,1089
2026-04-12T13:48:14.358138+00:00,AGENTE_05_AUDITOR_CANONICO,6,True,,308,259,451,710
2026-04-12T13:48:14.358138+00:00,AGENTE_08_VERTICE,4,True,,1018,461,99,560
2026-04-12T13:48:14.468476+00:00,AGENTE_02_REVISOR_PERFORMANCE,4,True,,1027,541,392,933
2026-04-12T13:48:14.569585+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,5,True,,351,598,181,779
2026-04-12T13:48:14.607015+00:00,AGENTE_04_REVISOR_UX,6,True,,374,388,158,546
2026-04-12T13:48:14.772502+00:00,AGENTE_01_INTEGRADOR_REPO,4,True,,839,1190,416,1606
2026-04-12T13:48:14.785478+00:00,AGENTE_06_MAESTRO_BAGO,4,True,,1299,1021,283,1304
2026-04-12T13:48:15.062109+00:00,AGENTE_01_INTEGRADOR_REPO,5,True,,288,522,346,868
2026-04-12T13:48:15.117965+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,6,True,,547,391,114,505
2026-04-12T13:48:15.128098+00:00,AGENTE_09_ANALISTA,5,True,,1195,972,352,1324
2026-04-12T13:48:15.212956+00:00,AGENTE_10_ARQUITECTO,5,True,,996,799,131,930
2026-04-12T13:48:15.289728+00:00,AGENTE_08_VERTICE,5,True,,930,557,416,973
2026-04-12T13:48:15.345401+00:00,AGENTE_05_AUDITOR_CANONICO,7,True,,986,1151,112,1263
2026-04-12T13:48:15.429329+00:00,AGENTE_03_REVISOR_SEGURIDAD,5,True,,1426,725,375,1100
2026-04-12T13:48:15.509514+00:00,AGENTE_06_MAESTRO_BAGO,5,True,,722,361,197,558
2026-04-12T13:48:15.810950+00:00,AGENTE_04_REVISOR_UX,7,True,,1203,620,195,815
2026-04-12T13:48:15.937825+00:00,AGENTE_02_REVISOR_PERFORMANCE,5,True,,1466,211,111,322
2026-04-12T13:48:16.114456+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,7,True,,995,1041,263,1304
2026-04-12T13:48:16.124788+00:00,AGENTE_10_ARQUITECTO,6,True,,907,696,391,1087
2026-04-12T13:48:16.392903+00:00,AGENTE_01_INTEGRADOR_REPO,6,True,,1329,511,308,819
2026-04-12T13:48:16.442781+00:00,AGENTE_10_ARQUITECTO,7,True,,309,518,238,756
2026-04-12T13:48:16.557074+00:00,AGENTE_09_ANALISTA,6,True,,1423,879,421,1300
2026-04-12T13:48:16.579811+00:00,AGENTE_05_AUDITOR_CANONICO,8,True,,1231,834,314,1148
2026-04-12T13:48:16.585072+00:00,AGENTE_02_REVISOR_PERFORMANCE,6,True,,641,809,459,1268
2026-04-12T13:48:16.597758+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,8,True,,481,550,107,657
2026-04-12T13:48:16.828927+00:00,AGENTE_08_VERTICE,6,True,,1538,211,301,512
2026-04-12T13:48:16.957021+00:00,AGENTE_06_MAESTRO_BAGO,6,True,,1445,1074,406,1480
2026-04-12T13:48:16.985769+00:00,AGENTE_09_ANALISTA,7,True,,425,1109,98,1207
2026-04-12T13:48:17.030581+00:00,AGENTE_03_REVISOR_SEGURIDAD,6,True,,1600,631,143,774
2026-04-12T13:48:17.178271+00:00,AGENTE_02_REVISOR_PERFORMANCE,7,True,,592,435,438,873
2026-04-12T13:48:17.343905+00:00,AGENTE_04_REVISOR_UX,8,True,,1520,577,157,734
2026-04-12T13:48:17.443861+00:00,AGENTE_05_AUDITOR_CANONICO,9,True,,862,462,81,543
2026-04-12T13:48:17.523544+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,9,True,,924,293,457,750
2026-04-12T13:48:17.562266+00:00,AGENTE_08_VERTICE,7,True,,732,651,118,769
2026-04-12T13:48:17.665832+00:00,AGENTE_02_REVISOR_PERFORMANCE,8,True,,406,1171,480,1651
2026-04-12T13:48:17.673362+00:00,AGENTE_10_ARQUITECTO,8,False,simulated_timeout,1228,722,0,
2026-04-12T13:48:17.812351+00:00,AGENTE_01_INTEGRADOR_REPO,7,True,,1416,854,380,1234
2026-04-12T13:48:17.911523+00:00,AGENTE_05_AUDITOR_CANONICO,10,True,,466,1125,234,1359
2026-04-12T13:48:17.988989+00:00,AGENTE_02_REVISOR_PERFORMANCE,9,True,,322,472,443,915
2026-04-12T13:48:18.029744+00:00,AGENTE_06_MAESTRO_BAGO,7,True,,1068,399,201,600
2026-04-12T13:48:18.092464+00:00,AGENTE_04_REVISOR_UX,9,True,,745,915,226,1141
2026-04-12T13:48:18.120995+00:00,AGENTE_10_ARQUITECTO,9,True,,444,1094,86,1180
2026-04-12T13:48:18.128729+00:00,AGENTE_03_REVISOR_SEGURIDAD,7,True,,1096,1067,487,1554
2026-04-12T13:48:18.169946+00:00,AGENTE_05_AUDITOR_CANONICO,11,True,,257,463,438,901
2026-04-12T13:48:18.444952+00:00,AGENTE_04_REVISOR_UX,10,True,,351,267,196,463
2026-04-12T13:48:18.444989+00:00,AGENTE_09_ANALISTA,8,True,,1457,1061,423,1484
2026-04-12T13:48:18.503014+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,10,True,,978,868,260,1128
2026-04-12T13:48:18.661332+00:00,AGENTE_02_REVISOR_PERFORMANCE,10,False,simulated_timeout,669,468,0,
2026-04-12T13:48:18.701988+00:00,AGENTE_06_MAESTRO_BAGO,8,True,,670,592,458,1050
2026-04-12T13:48:18.758910+00:00,AGENTE_08_VERTICE,8,True,,1195,278,194,472
2026-04-12T13:48:18.810779+00:00,AGENTE_10_ARQUITECTO,10,True,,684,1159,209,1368
2026-04-12T13:48:18.960020+00:00,AGENTE_09_ANALISTA,9,True,,513,491,295,786
2026-04-12T13:48:19.080811+00:00,AGENTE_02_REVISOR_PERFORMANCE,11,True,,418,816,424,1240
2026-04-12T13:48:19.196764+00:00,AGENTE_04_REVISOR_UX,11,True,,750,711,185,896
2026-04-12T13:48:19.197036+00:00,AGENTE_01_INTEGRADOR_REPO,8,True,,1383,563,192,755
2026-04-12T13:48:19.316934+00:00,AGENTE_03_REVISOR_SEGURIDAD,8,True,,1187,370,430,800
2026-04-12T13:48:19.334399+00:00,AGENTE_05_AUDITOR_CANONICO,12,True,,1159,276,272,548
2026-04-12T13:48:19.355631+00:00,AGENTE_09_ANALISTA,10,True,,394,252,163,415
2026-04-12T13:48:19.443046+00:00,AGENTE_07_ORQUESTADOR_CENTRAL,11,True,,933,699,500,1199
